,floor,price,size,exterior,rooms,bathrooms,latitude,longitude,hasLift,priceByArea
256,3,1000.0,80.0,1,2.0,1,41.4013455,2.1968527,0,13.0
257,4,800.0,90.0,1,4.0,1,41.4500497,2.2044535,1,9.0
258,2,1050.0,55.0,1,1.0,1,41.4080608,2.166312,1,19.0
259,1,2400.0,150.0,1,0.0,2,41.399956,2.1639099,0,16.0
260,2,950.0,80.0,1,4.0,2,41.3856597,2.073625,1,12.0
261,6,1200.0,100.0,1,3.0,2,41.397888,2.163091,1,12.0
262,1,2000.0,157.0,1,5.0,3,41.4094027,2.1394852,1,13.0
263,3,2200.0,65.0,1,2.0,1,41.3740052,2.18916,0,34.0
264,1,1200.0,66.0,1,3.0,1,41.4118124,2.2126044,1,18.0
265,9,850.0,80.0,1,3.0,1,41.4508,2.226,1,11.0
266,2,1700.0,110.0,1,3.0,2,41.4064413,2.1940464,1,15.0
267,1,1600.0,93.0,1,4.0,2,41.3925212,2.1571262,1,17.0
268,2,800.0,50.0,1,1.0,1,41.4116778,2.1743669,1,16.0
269,8,1500.0,105.0,1,3.0,1,41.3850051,2.1954242,1,14.0
270,0,5000.0,390.0,0,4.0,3,41.3941045,2.075245,0,13.0
271,0,2000.0,70.0,1,2.0,1,41.3957289,2.1752086,1,29.0
272,2,1200.0,70.0,1,1.0,1,41.3905301,2.1893631,1,17.0
273,6,1450.0,80.0,1,4.0,2,41.4015814,2.1441661,1,18.0
274,0,1145.0,80.0,0,1.0,1,41.3942565,2.179825,1,14.0
275,1,800.0,47.0,1,1.0,1,41.4082208,2.1760191,1,17.0
276,3,1500.0,80.0,1,3.0,1,41.4087271,2.1725263,1,19.0
278,4,700.0,70.0,1,3.0,1,41.4446909,2.1866994,1,10.0
279,3,900.0,68.0,1,2.0,1,41.3746832,2.1731289,1,13.0
280,5,1600.0,85.0,1,2.0,1,41.4014599,2.1670097,1,19.0
281,1,1200.0,80.0,0,0.0,1,41.3956212,2.1770904,1,15.0
282,1,1300.0,86.0,1,4.0,2,41.4087602,2.1757933,1,15.0
283,3,4550.0,300.0,1,5.0,4,41.3992348,2.1463282,1,15.0
284,3,1875.0,90.0,1,2.0,2,41.4066416,2.2097719,1,21.0
285,4,1200.0,66.0,1,2.0,1,41.3846737,2.1649917,1,18.0
286,3,1400.0,75.0,1,1.0,1,41.4061416,2.2098719,1,19.0
287,0,3500.0,350.0,0,5.0,5,41.2515999,1.8243495,0,10.0
288,2,1200.0,70.0,1,3.0,1,41.373967,2.1640114,0,17.0
289,2,3500.0,167.0,1,2.0,1,41.4034971,2.2174642,1,21.0
291,3,900.0,67.0,1,2.0,1,41.3731496,2.1703334,1,13.0
292,0,3650.0,300.0,0,4.0,3,41.2354104,1.8046585,0,12.0
293,1,1900.0,127.0,1,4.0,2,41.3955173,2.1770049,0,15.0
294,0,2600.0,355.0,0,7.0,5,41.57808,2.50386,0,7.0
295,6,2000.0,145.0,1,4.0,3,41.3989718,2.1764556,1,14.0
296,4,1000.0,75.0,0,3.0,1,41.4956702,2.1655647,1,13.0
297,2,1400.0,102.0,1,2.0,1,41.3702453,2.1427472,1,14.0
298,1,1000.0,50.0,1,2.0,1,41.3870639,2.1773578,0,20.0
299,1,1300.0,111.0,1,3.0,2,41.4091212,2.1767575,0,12.0
300,2,1300.0,70.0,1,2.0,1,41.3943752,2.155771,1,19.0
301,1,650.0,86.0,0,1.0,1,41.6103752,2.2851699,0,8.0
302,0,750.0,45.0,1,2.0,1,41.3813402,2.1889652,0,17.0
303,0,700.0,72.0,1,2.0,1,41.4321561,2.1570593,1,10.0
304,1,900.0,85.0,1,3.0,2,41.3171493,2.0245966,1,11.0
306,3,2000.0,91.0,1,2.0,1,41.3892622,2.1845841,1,22.0
307,0,1600.0,240.0,0,3.0,4,41.567703,2.5154756,0,7.0
308,2,1900.0,152.0,1,5.0,2,41.3950067,2.1712755,1,13.0
309,1,1300.0,60.0,1,2.0,1,41.3923752,2.156871,1,22.0
310,0,3800.0,330.0,1,5.0,2,41.3859973,2.1607051,1,12.0
311,1,650.0,69.0,1,2.0,1,41.4960866,2.0258415,1,9.0
312,4,750.0,75.0,1,2.0,2,41.3877414,2.1751957,0,10.0
313,4,950.0,65.0,1,2.0,1,41.4178782,2.212775,1,15.0
315,1,1790.0,75.0,1,2.0,2,41.3926665,2.1525291,1,24.0
316,4,1850.0,100.0,1,2.0,2,41.3831941,2.1658265,1,19.0
317,4,3800.0,350.0,1,5.0,4,41.3969515,2.1292977,1,11.0
318,1,1600.0,120.0,1,2.0,2,41.3902755,2.1276424,1,13.0
319,3,950.0,59.0,0,2.0,1,41.3752811,2.1421138,1,16.0
320,5,1300.0,110.0,1,4.0,2,41.5015069,2.3874308,1,12.0
321,2,750.0,45.0,1,2.0,1,41.374653,2.1353471,1,17.0
322,0,800.0,46.0,1,1.0,1,41.371238,2.1580187,0,17.0
323,5,1250.0,60.0,1,1.0,1,41.3816614,2.1549477,1,21.0
324,4,1300.0,81.0,1,2.0,1,41.39244,2.1468,1,16.0
325,0,2400.0,155.0,1,0.0,2,41.400256,2.1619099,0,15.0
326,1,980.0,65.0,1,3.0,1,41.392053,2.1883618,1,15.0
327,3,1600.0,50.0,1,1.0,1,41.3859837,2.1462863,1,32.0
328,2,1700.0,120.0,1,4.0,2,41.3923809,2.1515536,1,14.0
329,10,900.0,65.0,1,2.0,1,41.3913834,2.1435242,1,14.0
330,0,2400.0,150.0,1,2.0,2,41.4034388,2.157551,1,16.0
332,0,1400.0,171.0,0,4.0,2,41.446371,2.070411,0,8.0
333,1,700.0,40.0,1,0.0,1,41.3892381,2.1709686,1,18.0
334,1,1000.0,50.0,1,2.0,1,41.3840128,2.1760811,0,20.0
335,7,900.0,80.0,1,4.0,1,41.3728961,2.1111,1,11.0
337,4,1499.0,130.0,1,4.0,3,41.2425634,1.8121643,1,12.0
338,3,1000.0,60.0,1,1.0,1,41.38002,2.17673,1,17.0
339,4,1250.0,90.0,1,3.0,1,41.3899641,2.1490754,1,14.0
340,7,1490.0,65.0,1,2.0,2,41.4003955,2.1439168,1,23.0
341,1,1300.0,100.0,1,2.0,1,41.3707906,2.1434155,1,13.0
342,4,2000.0,80.0,1,2.0,1,41.38891,2.162544,1,25.0
343,0,4500.0,730.0,0,9.0,5,41.4154703,2.1000164,0,6.0
344,3,3400.0,125.0,1,2.0,2,41.3836925,2.1727273,1,27.0
345,4,1250.0,70.0,1,3.0,1,41.397001,2.1478522,1,18.0
346,0,1500.0,350.0,0,3.0,2,41.3153767,1.7677044,0,4.0
347,2,1500.0,80.0,1,2.0,1,41.3859051,2.184984,1,19.0
348,3,2500.0,95.0,0,3.0,2,41.3911418,2.1690563,1,26.0
349,4,2200.0,90.0,1,2.0,2,41.4052037,2.211348,1,24.0
350,4,790.0,94.0,1,2.0,2,41.5375468,2.1083449,1,8.0
351,2,600.0,115.0,1,4.0,2,41.5566447,2.0004179,0,5.0
352,5,1300.0,86.0,1,4.0,2,41.3891563,2.1492339,1,15.0
353,4,675.0,35.0,1,1.0,1,41.4134448,2.1676179,1,19.0
354,2,2200.0,155.0,1,2.0,2,41.391578,2.1751062,1,14.0
355,3,900.0,68.0,1,2.0,1,41.370575,2.1738429,1,13.0
357,1,900.0,45.0,1,1.0,1,41.3905004,2.1780082,0,20.0
358,0,580.0,62.0,0,3.0,1,41.5428966,2.1077399,0,9.0
359,4,950.0,85.0,1,5.0,1,41.42766,2.1699834,1,11.0
361,1,1200.0,75.0,1,3.0,1,41.412136,2.2116964,1,16.0
362,3,1200.0,85.0,1,3.0,1,41.4005147,2.1869503,1,14.0
363,6,1100.0,78.0,1,3.0,2,41.4096313,2.1738186,1,14.0
364,0,750.0,47.0,1,1.0,1,41.4067183,2.1304258,1,16.0
365,2,1200.0,146.0,1,2.0,3,41.5028118,2.3932932,1,8.0
366,1,1750.0,90.0,1,3.0,1,41.4072349,2.175361,1,19.0
367,8,2500.0,200.0,1,5.0,4,41.3914001,2.1443531,1,13.0
368,1,980.0,65.0,1,3.0,1,41.391853,2.1903618,1,15.0
370,7,1050.0,80.0,1,4.0,1,41.377487,2.1269531,1,13.0
371,1,900.0,80.0,1,2.0,1,41.3820683,2.1388973,1,11.0
373,3,850.0,40.0,1,0.0,1,41.3828495,2.1752506,0,21.0
374,0,1350.0,250.0,0,4.0,2,41.616417,2.0100604,0,5.0
375,4,1200.0,70.0,1,2.0,1,41.393338,2.1873102,1,17.0
376,1,850.0,41.0,1,1.0,1,41.3779454,2.1777857,0,21.0
377,2,595.0,95.0,1,3.0,1,41.6905932,2.1676423,1,6.0
378,0,1200.0,100.0,0,3.0,2,41.4820265,2.1443204,0,12.0
379,3,1300.0,71.0,0,2.0,1,41.4049896,2.1663637,1,18.0
380,4,800.0,48.0,1,1.0,1,41.4050777,2.1344678,1,17.0
381,8,950.0,70.0,1,2.0,2,41.4116375,2.1692134,1,14.0
382,0,2600.0,150.0,1,0.0,2,41.400656,2.1639099,0,17.0
383,0,800.0,65.0,1,2.0,1,41.2695588,1.9453183,0,12.0
384,1,1350.0,96.0,1,3.0,2,41.3773175,2.1246491,1,14.0
385,1,990.0,75.0,1,3.0,1,41.3768436,2.1387155,0,13.0
386,2,1400.0,110.0,1,3.0,1,41.3941702,2.1503558,1,13.0
387,3,2900.0,230.0,1,5.0,3,41.3928631,2.1699079,1,13.0
388,1,1950.0,125.0,0,2.0,1,41.4538656,2.2322034,1,16.0
389,1,700.0,50.0,1,2.0,1,41.4063532,2.1608298,0,14.0
390,4,750.0,75.0,1,3.0,1,41.442493,2.2363958,1,10.0
391,2,1000.0,102.0,1,3.0,2,41.3605864,2.1378059,1,10.0
392,1,590.0,49.0,1,3.0,2,41.4483842,2.1778673,1,12.0
393,2,1500.0,100.0,1,2.0,1,41.3827483,2.1813266,1,15.0
394,2,1350.0,100.0,1,4.0,2,41.3849373,2.1604735,1,14.0
395,5,600.0,40.0,1,0.0,1,41.3872869,2.1581526,1,15.0
396,4,975.0,109.0,1,3.0,2,41.385432,2.1439847,1,9.0
397,0,3300.0,210.0,0,4.0,3,41.273487,1.9549742,0,16.0
398,2,795.0,83.0,1,3.0,1,41.4929286,2.184093,1,10.0
