propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,newDevelopment,tenantNumber,tenantGender,hasLift,isSmokingAllowed,priceByArea
32132033,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRNi1HasnrtFjpyQrDLBpVaeJKkCWRSohoYKvZJoCOHQpenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-482096795,15,2,1300.0,flat,rent,75.0,True,2,1,calle de balmes,Barcelona,Barcelona,Eixample,es,L'Antiga Esquerra de l'Eixample,41.3937752,2.157771,False,http://www.idealista.com/32132033,1466,False,False,NaN,NaN,False,NaN,17.0
34952717,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRIM2FrtzI2b1R3tuknPjKszPKrSg6E0gmvf9SJkiE5TienbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1500770450,6,1,1300.0,flat,rent,80.0,True,2,1,"balmes, 157",Barcelona,Barcelona,Eixample,es,L'Antiga Esquerra de l'Eixample,41.3944574,2.1556637,True,http://www.idealista.com/34952717,1562,False,False,NaN,NaN,True,NaN,16.0
34952699,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRHcAoW%2FnK00kPFuEq1fwMU1RtXGeGfew81OJOqqJpKSXenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1386379531,36,5,1200.0,flat,rent,94.0,True,3,1,calle del rosselló,Barcelona,Barcelona,Eixample,es,La Sagrada Família,41.4051372,2.1773517,False,http://www.idealista.com/34952699,601,False,False,NaN,NaN,True,NaN,13.0
34952662,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQROM8LJfDYqLoPaHdBDXhzfzHYKrppTDk5Mc%2FKQ0LnxoGenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-216466765,21,5,4200.0,flat,rent,260.0,True,7,2,rambla del Prat,Barcelona,Barcelona,Gràcia,es,Vila de Gràcia,41.4000228,2.1521945,False,http://www.idealista.com/34952662,1613,True,False,NaN,NaN,True,NaN,16.0
34952648,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRIM2FrtzI2b1R3tuknPjKswmJ4qQ4f9BLqxXHGdRR0PKenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1290127925,15,2,750.0,flat,rent,65.0,True,3,2,"calle Nou de la Rambla, 85",Barcelona,Barcelona,Ciutat Vella,es,El Raval,41.3759707,2.1711161,True,http://www.idealista.com/34952648,2912,False,False,NaN,NaN,False,NaN,12.0
34952627,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRHR3SV6f3XT%2FtJWyeGE0a7oWIIYeDE%2B6FOdBTThNYmrKenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1158213431,11,1,800.0,flat,rent,55.0,False,1,1,industria,Barcelona,Barcelona,Eixample,es,La Sagrada Família,41.4111778,2.1727669,False,http://www.idealista.com/34952627,1009,False,False,NaN,NaN,True,NaN,15.0
26644942,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRAASLujdSzZ9iYYh1Gq5xnqBayp0KumSMRHgtcKoIy5fF253Rn1U%2BgVwmThMuemzO6lTXuPsG8pXa2GRM8cXx%2BdWd1WVpMNNdfu%2B3ZH4E00ZUWmN%2Fe64nMeHZOAUx7wi2Q%3D%3D&ch=-1929225216,8,3,680.0,flat,rent,40.0,True,1,1,lluna,Barcelona,Barcelona,Ciutat Vella,es,El Raval,41.3825628,2.1636231,False,http://www.idealista.com/26644942,2272,False,False,NaN,NaN,False,NaN,17.0
34952613,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRHlwxnz8GPpWRwCionX75FLlTCGDFQXkbdqSkCGtJ8lPenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-1573653316,12,1,575.0,flat,rent,72.0,True,2,1,calle barcelona,Barcelona,Les Franqueses del Vallès,NaN,es,NaN,41.6193577,2.2986675,False,http://www.idealista.com/34952613,26374,False,False,NaN,NaN,True,NaN,8.0
34952612,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRDLMfQDif%2Frql0pQaHt1j3T8lmgBHXQoyZGhr1s7FshienbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=-755632842,21,4,950.0,flat,rent,80.0,True,3,2,Premiá de Mar,Barcelona,Premiá de Mar,NaN,es,NaN,41.4928724,2.3613261,False,http://www.idealista.com/34952612,18773,False,False,NaN,NaN,True,NaN,12.0
34952605,https://img3.idealista.com/thumbs?wi=140&he=105&en=%2BtSLyO%2BcnvWFQ1vfQ1%2FQRIvycNgYFqqrjIDeDen5FMyN1dwYRgGmQSHtAq6AOhOyenbPKfuOPIaCEFuXJKqGB5cU1VWesisrLJUHqccKZOukuYN5VRYLz1RLlDEtglEcKFetA5LMd2SHdJFqqai0nA%3D%3D&ch=1760878299,4,NaN,1550.0,chalet,rent,150.0,False,4,2,levantina s/n,Barcelona,Sitges,Levantina-Montgavina-Quintmar,es,NaN,41.240274,1.824905,True,http://www.idealista.com/34952605,34071,False,False,NaN,NaN,NaN,NaN,10.0
