rooms,bathrooms,exterior,hasLift,size,floor,longitude,latitude,price,hasParkingSpace,isParkingSpaceIncludedInPrice,priceperarea,type_chalet,type_chalet_independantHouse,type_chalet_semidetachedHouse,type_chalet_terracedHouse,type_flat,type_flat_duplex,type_flat_penthouse,type_flat_studio,good,newdevelopment,renew
3.0,2.0,0.0,1.0,89.0,3.0,2.1817744,41.4064052,1200.0,0.0,0.0,713.1,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,1.0,65.0,2.0,2.1736823,41.4349302,1200.0,0.0,0.0,555.0,0,0,0,0,1,0,0,0,1,0,0
2.0,2.0,1.0,1.0,85.0,3.0,2.17991,41.4084052,1200.0,0.0,0.0,713.1,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,1.0,1.0,140.0,1.0,2.1834846,41.4090513,1850.0,0.0,0.0,644.0,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,1.0,1.0,140.0,3.0,2.1512155,41.3981272,1600.0,0.0,0.0,733.1,0,0,0,0,1,0,0,0,1,0,0
4.0,1.0,1.0,1.0,100.0,2.0,2.1630248,41.4289712,890.0,0.0,0.0,579.9,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,1.0,62.0,3.0,2.1788211,41.3875138,1100.0,0.0,0.0,723.4,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,1.0,60.0,1.0,2.1465437,41.3857099,1300.0,0.0,0.0,783.8,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,1.0,1.0,85.0,6.0,2.153501,41.3985022,1450.0,0.0,0.0,1156.3,0,0,0,0,1,0,0,0,1,0,0
2.0,2.0,1.0,1.0,10075.0,6.0,2.1790086,41.3976289,2000.0,0.0,0.0,768.1,0,0,0,0,0,0,1,0,1,0,0
3.0,1.0,1.0,1.0,100.0,5.0,2.1925432,41.4162902,990.0,0.0,0.0,651.6,0,0,0,0,1,0,0,0,1,0,0
3.0,2.0,1.0,1.0,110.0,5.0,2.1893349,41.3891069,1700.0,1.0,1.0,748.8,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,0.0,100.0,2.0,2.1803154,41.384817,1500.0,0.0,0.0,723.4,0,0,0,0,1,0,0,0,1,0,0
4.0,2.0,1.0,1.0,110.0,4.0,2.1645244,41.3996648,1700.0,0.0,0.0,1012.5,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,1.0,65.0,3.0,2.2124388,41.4074048,1200.0,0.0,0.0,1059.8,0,0,0,0,1,0,0,0,1,0,0
0.0,1.0,1.0,1.0,98.0,3.0,2.1876373,41.3970254,1500.0,0.0,0.0,748.8,0,0,0,0,0,0,0,1,1,0,0
1.0,1.0,0.0,0.0,60.0,3.0,2.1507956,41.4222732,625.0,0.0,0.0,519.7,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,0.0,70.0,3.0,2.1620499,41.4342868,750.0,0.0,0.0,579.9,0,0,0,0,1,0,0,0,1,0,0
0.0,1.0,1.0,1.0,72.0,1.0,2.1413429,41.3687445,750.0,0.0,0.0,638.5,0,0,0,0,0,0,0,1,1,0,0
4.0,2.0,1.0,1.0,94.0,0.0,2.1828238,41.406597,1600.0,0.0,0.0,644.0,0,0,0,0,0,0,1,0,1,0,0
3.0,1.0,1.0,1.0,70.0,7.0,2.1718381,41.4097792,1000.0,0.0,0.0,713.1,0,0,0,0,1,0,0,0,1,0,0
0.0,1.0,1.0,1.0,35.0,4.0,2.1391665,41.4048811,700.0,0.0,0.0,1046.4,0,0,0,0,0,0,0,1,1,0,0
2.0,1.0,1.0,0.0,55.0,4.0,2.1796271,41.3887133,1400.0,0.0,0.0,723.4,0,0,0,0,1,0,0,0,1,0,0
2.0,1.0,1.0,1.0,80.0,1.0,2.1732601,41.4014176,1750.0,0.0,0.0,713.1,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,0.0,0.0,59.0,0.0,2.2010684,41.3934458,915.0,0.0,0.0,1104.5,0,0,0,0,1,0,0,0,1,0,0
0.0,1.0,1.0,1.0,30.0,1.0,2.1532756,41.3942551,595.0,0.0,0.0,911.1,0,0,0,0,0,0,0,1,1,0,0
2.0,1.0,1.0,0.0,50.0,1.0,2.1785316,41.3905275,875.0,0.0,0.0,723.4,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,1.0,0.0,40.0,1.0,2.1753687,41.3856551,930.0,0.0,0.0,786.0,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,0.0,1.0,62.0,0.0,2.1744393,41.3920263,1000.0,0.0,0.0,1012.5,0,0,0,0,1,0,0,0,1,0,0
1.0,1.0,1.0,0.0,40.0,1.0,2.1674747,41.3748759,1200.0,0.0,0.0,612.1,0,0,0,0,1,0,0,0,1,0,0
0.0,1.0,1.0,0.0,25.0,0.0,2.1299274,41.3752456,750.0,0.0,0.0,653.3,0,0,0,0,0,0,0,1,1,0,0
