,rooms,bathrooms,exterior,hasLift,size,floor,longitude,latitude,price,hasParkingSpace,isParkingSpaceIncludedInPrice,0,chalet,flat,0,good,renew
224,1.0,1.0,1.0,0.0,51.0,1.0,2.1822246,41.3873462,850.0,0.0,0.0,0,0,1,0,1,0
225,2.0,1.0,1.0,1.0,70.0,3.0,2.1622584,41.4070242,850.0,0.0,0.0,0,0,1,0,1,0
226,3.0,1.0,1.0,0.0,75.0,1.0,2.1591737,41.4291185,650.0,0.0,0.0,0,0,1,0,1,0
227,3.0,2.0,1.0,1.0,120.0,3.0,2.0075565,41.5728457,750.0,0.0,0.0,0,0,1,0,1,0
228,1.0,1.0,1.0,1.0,25.0,0.0,2.2126598,41.4189156,725.0,0.0,0.0,0,0,1,0,1,0
229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
230,3.0,1.0,1.0,1.0,74.0,2.0,2.187181,41.4422174,800.0,0.0,0.0,0,0,1,0,1,0
231,2.0,1.0,1.0,1.0,65.0,4.0,2.1646278,41.3798597,1500.0,0.0,0.0,0,0,1,0,1,0
232,2.0,2.0,1.0,1.0,72.0,1.0,2.1764661,41.4246972,900.0,0.0,0.0,0,0,1,0,1,0
233,4.0,3.0,1.0,1.0,230.0,4.0,2.1855392,41.4221444,3500.0,1.0,0.0,0,0,1,0,1,0
234,3.0,2.0,1.0,0.0,90.0,1.0,2.1767863,41.3810271,1400.0,0.0,0.0,0,0,1,0,1,0
235,1.0,1.0,1.0,1.0,48.0,4.0,2.1725932,41.38114,950.0,0.0,0.0,0,0,1,0,1,0
236,3.0,1.0,1.0,1.0,50.0,2.0,2.1657128,41.4124409,1000.0,0.0,0.0,0,0,1,0,1,0
237,3.0,1.0,1.0,0.0,80.0,2.0,2.1535243,41.4223797,890.0,0.0,0.0,0,0,1,0,1,0
238,3.0,2.0,1.0,1.0,90.0,1.0,2.172543,41.3930965,1300.0,1.0,0.0,0,0,1,0,1,0
239,1.0,1.0,0.0,1.0,35.0,1.0,2.1582262,41.3982184,1000.0,0.0,0.0,0,0,1,0,1,0
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
